logFC	logCPM	LR	PValue	FDR	geneId
1.027187272	3.989974411	43.59916992	4.03E-11	3.57E-09	AT3G28600
0.932030048	4.539518241	43.42637408	4.40E-11	3.88E-09	AT2G43550
2.157196334	0.792525247	43.25802768	4.80E-11	4.21E-09	AT3G55515
-0.831073811	5.35926011	43.23713876	4.85E-11	4.23E-09	AT4G01630
1.277143002	3.201559156	43.15592316	5.05E-11	4.39E-09	AT2G26480
-0.928705917	4.646245326	42.95982904	5.59E-11	4.83E-09	AT4G04745
1.177800969	2.373136668	42.8394539	5.94E-11	5.12E-09	AT1G01480
0.809365225	6.159406964	42.7198096	6.32E-11	5.41E-09	AT3G45070
1.149397185	5.258642015	42.71144901	6.34E-11	5.41E-09	AT5G41590
0.7553582	7.257916326	42.47710608	7.15E-11	6.08E-09	AT4G29930
-0.827223649	5.647976652	42.45456299	7.23E-11	6.12E-09	AT5G53550
-0.875491923	4.026536411	42.43317147	7.31E-11	6.16E-09	AT1G78090
0.796743831	5.311978992	42.26638425	7.96E-11	6.68E-09	AT3G54950
1.235812182	2.329125052	42.12593003	8.56E-11	7.14E-09	AT4G34800
1.144387848	3.616490001	41.92190643	9.50E-11	7.90E-09	AT3G53960
1.030691496	4.139028999	41.75477295	1.03E-10	8.56E-09	AT5G54510
0.789986011	4.899443328	41.67080456	1.08E-10	8.90E-09	AT2G32930
0.784435527	7.214880222	41.64232494	1.10E-10	8.99E-09	AT5G49480
0.765146683	6.188801175	41.57550901	1.13E-10	9.26E-09	AT5G27930
0.80925939	7.402029412	41.55799473	1.14E-10	9.31E-09	AT5G06300
-1.527033414	2.263994336	41.43856393	1.22E-10	9.85E-09	AT1G29020
0.820064057	4.87787167	41.11465564	1.44E-10	1.16E-08	AT4G31450
-0.726422814	6.02142959	40.79117091	1.69E-10	1.36E-08	AT5G51550
0.773778394	6.439290975	40.64926761	1.82E-10	1.46E-08	AT5G59450
-1.405747546	2.323462647	40.61726879	1.85E-10	1.47E-08	AT3G06490
-0.686442759	5.484541556	40.57485537	1.89E-10	1.50E-08	AT2G27050
-1.689685542	1.287290872	40.53036464	1.94E-10	1.53E-08	AT5G66700
-0.945603832	3.284101007	40.28629983	2.19E-10	1.73E-08	AT2G41130
-0.933947574	3.258136396	40.15754841	2.34E-10	1.84E-08	AT3G15300
-1.159685014	2.829700969	39.89934882	2.67E-10	2.09E-08	AT5G19040
0.690705087	6.330805748	39.7877442	2.83E-10	2.20E-08	AT2G39130
-0.925603786	5.875104355	39.71033479	2.95E-10	2.28E-08	AT5G57685
-1.076124693	3.175735182	39.6787185	2.99E-10	2.31E-08	AT5G54020
0.844621771	5.963525855	39.60794855	3.10E-10	2.38E-08	AT3G18400
1.829763098	1.01388282	39.49995465	3.28E-10	2.51E-08	AT5G07450
-1.373180544	2.65796228	39.30576889	3.62E-10	2.75E-08	AT1G23060
0.700723792	7.047745495	39.30338982	3.63E-10	2.75E-08	AT1G04250
1.282892024	2.144088709	39.18202193	3.86E-10	2.92E-08	AT5G38970
0.915406023	5.151763067	39.10383066	4.02E-10	3.02E-08	AT4G22666
-0.912785764	5.747277155	38.98358579	4.27E-10	3.20E-08	AT4G21680
-2.358309406	0.355240775	38.93638274	4.38E-10	3.27E-08	AT1G11920
0.717928687	5.868564644	38.92182994	4.41E-10	3.28E-08	AT4G26200
0.783176442	3.999208816	38.77600582	4.75E-10	3.52E-08	AT1G16130
-0.858943452	4.514980598	38.74395239	4.83E-10	3.57E-08	AT5G17490
1.005116811	6.405633908	38.72655355	4.88E-10	3.58E-08	AT2G01890
1.756919891	2.627626022	38.494497	5.49E-10	4.02E-08	AT1G53060
1.293143982	3.999576504	38.48017063	5.53E-10	4.04E-08	AT5G67520
0.68576498	6.613921083	38.44826395	5.62E-10	4.09E-08	AT3G04670
0.834603021	4.88160513	38.35636782	5.89E-10	4.27E-08	AT2G40130
2.203765529	1.334647687	38.1944948	6.40E-10	4.62E-08	AT1G63600
0.710798229	5.111165595	38.13045542	6.62E-10	4.76E-08	AT4G32350
-0.822626424	3.860735836	38.01502556	7.02E-10	5.03E-08	AT5G18690
0.82858616	5.997350547	37.78425944	7.90E-10	5.64E-08	AT2G24580
1.259707927	3.282575236	37.76138077	7.99E-10	5.68E-08	AT3G55090
0.728055261	5.863423695	37.66069443	8.42E-10	5.96E-08	AT4G36640
1.026107495	5.651729967	37.37306938	9.76E-10	6.88E-08	AT2G44230
0.805689779	4.924426844	37.31558049	1.00E-09	7.06E-08	AT2G31180
0.782491845	6.31213157	37.27416507	1.03E-09	7.19E-08	AT3G22800
1.475534148	2.892698905	37.04150815	1.16E-09	8.07E-08	AT3G14395
-0.719098651	5.522418378	37.03480451	1.16E-09	8.07E-08	AT2G47440
1.525452935	1.319988914	36.79161131	1.31E-09	9.11E-08	AT1G15580
0.787437384	4.255519979	36.74082232	1.35E-09	9.31E-08	AT1G75440
0.826398652	5.880343037	36.65958168	1.41E-09	9.67E-08	AT1G55610
0.991275114	6.984526642	36.63117693	1.43E-09	9.78E-08	AT2G38760
0.868893522	3.999524097	36.50495149	1.52E-09	1.04E-07	AT3G63440
1.238545522	1.945929693	36.47427287	1.55E-09	1.05E-07	AT1G72890
1.340985871	7.155742383	36.37887599	1.62E-09	1.10E-07	AT3G45710
-0.674115026	5.843443999	36.2302645	1.75E-09	1.18E-07	AT1G70940
